Geneid	wt_R1	wt_R2	mu_R1	mu_R2
FGRRES_16072_M	17	7	6	6
FGRRES_11606	0	0	0	0
FGRRES_20000	1	0	0	0
FGRRES_15662	0	0	0	0
FGRRES_16069	74	60	39	38
FGRRES_11584	0	0	0	0
FGRRES_16068	56	55	3	1
FGRRES_11582	3	4	1	0
FGRRES_11581	44	27	32	15
FGRRES_11580	13	17	15	11
FGRRES_16067	1	0	2	0
FGRRES_11641	1	0	0	0
FGRRES_11605	0	0	0	0
FGRRES_11642	3	4	5	2
FGRRES_11643	0	0	0	0
FGRRES_11600	3	7	1	2
FGRRES_11601	0	0	0	0
FGRRES_00001	0	0	0	0
FGRRES_00002	10	6	7	7
FGRRES_11644	10	10	4	4
FGRRES_00003	0	0	3	2
FGRRES_20001	0	0	0	2
FGRRES_15677_M	0	0	0	0
FGRRES_00004	2	2	1	1
FGRRES_00005	0	0	1	0
FGRRES_00006	0	0	1	0
FGRRES_17598	0	0	0	0
FGRRES_11645	1	1	0	1
FGRRES_11646	0	0	0	0
FGRRES_11647	0	2	1	1
FGRRES_00009	0	1	0	1
FGRRES_00010	2	1	4	5
FGRRES_00011	19	12	5	2
FGRRES_00012	7	15	0	0
FGRRES_00013	0	1	0	0
FGRRES_11648_M	1	1	0	1
FGRRES_11649	0	0	0	0
FGRRES_00014_M	3	2	0	0
FGRRES_00015	22	16	4	5
FGRRES_11650	0	1	1	0
FGRRES_00016_M	102	114	95	113
FGRRES_00017	20	18	12	10
FGRRES_00018	328	302	166	140
FGRRES_00019	7	4	2	0
FGRRES_15678_M	0	0	3	6
FGRRES_00021	1	5	3	3
FGRRES_11651_2_M	91	71	24	15
FGRRES_00023	148	174	22	34
FGRRES_00024	7	16	6	9
FGRRES_00025	14	16	13	4
FGRRES_00026_M	2	3	1	1
FGRRES_00027	0	0	1	0
FGRRES_00028	0	0	0	0
FGRRES_15046	0	0	0	0
FGRRES_00029	0	0	0	2
FGRRES_00030_M	14	7	15	7
FGRRES_20002	0	0	0	0
FGRRES_15679	1	1	2	0
FGRRES_00032	1	2	1	1
FGRRES_00033	7	7	0	2
FGRRES_00034	2	0	2	5
FGRRES_11653	20	8	10	11
FGRRES_11654	13	16	2	5
FGRRES_00036	9	2	1	3
FGRRES_15680_M	1	0	4	2
FGRRES_11656	3	0	16	7
FGRRES_00038_M	4	0	3	1
FGRRES_00039	57	38	3	4
FGRRES_00040	2	1	4	4
FGRRES_11657	1	0	1	0
FGRRES_11658	0	0	0	0
FGRRES_15673_M	23	21	20	21
FGRRES_00043	4	11	137	142
FGRRES_00044	0	0	13	15
FGRRES_00045	24	16	10	13
FGRRES_00046	8	17	19	14
FGRRES_00047	0	2	0	1
FGRRES_00048	5	7	7	6
FGRRES_00049	0	0	0	0
FGRRES_11661	0	0	0	0
FGRRES_00050	49	52	4307	3825
FGRRES_00051	0	5	6	3
FGRRES_00052	6	9	0	3
FGRRES_00053	1069	958	5077	4859
FGRRES_00054	192	120	1922	1765
FGRRES_00055	108	83	47	31
FGRRES_00056	13	11	0	6
FGRRES_15047_M	0	0	0	0
FGRRES_11662_M	3	6	8	15
FGRRES_20003	0	0	1	0
FGRRES_20004	2	0	1	3
FGRRES_15682	12	7	9	12
FGRRES_11664	26	26	20	15
FGRRES_11665_M	113	121	46	52
FGRRES_11666	3	1	0	0
FGRRES_11667_M	120	84	46	53
FGRRES_00058	21	18	4	13
FGRRES_00059	2898	2906	2726	2511
FGRRES_00060	4	0	1	1
FGRRES_00061	4	5	3	1
FGRRES_00062	12	10	1	1
FGRRES_00063	3	1	0	0
FGRRES_00064_M	144	107	125	116
FGRRES_11668	3	1	0	0
FGRRES_00065	0	0	0	0
FGRRES_15683	2	5	2	4
FGRRES_00066	480	435	731	598
FGRRES_00067	49	38	76	85
FGRRES_00068	73	61	30	34
FGRRES_00069	129	143	106	95
FGRRES_00070	105	76	114	105
FGRRES_00071	17	19	14	19
FGRRES_00072	0	0	2	3
FGRRES_00073	1	0	0	0
FGRRES_00074	0	0	0	1
FGRRES_15048	0	0	0	0
FGRRES_00075	4	0	0	1
FGRRES_00076	5	1	6	0
FGRRES_00077	1	0	0	0
FGRRES_00078	0	1	1	0
FGRRES_00079	55	49	24	32
FGRRES_00080	121	97	85	97
FGRRES_15684	93	94	69	50
FGRRES_00082	9	3	8	1
FGRRES_00083	1	1	0	0
FGRRES_00084_M	0	1	5	0
FGRRES_00085	2	3	2	1
FGRRES_11669	0	1	0	0
FGRRES_11670	0	5	0	0
FGRRES_00087	0	0	1	0
FGRRES_11671	0	0	0	0
FGRRES_11672	0	1	0	2
FGRRES_00089	0	1	1	2
FGRRES_00090	0	2	0	3
FGRRES_00091	0	0	0	0
FGRRES_15685_M	6	3	7	1
FGRRES_00092	9	19	5	6
FGRRES_00093_M	448	338	107	96
FGRRES_00094	0	0	0	0
FGRRES_15686	15	23	1	4
FGRRES_00096	0	1	0	1
FGRRES_00097	151	159	64	62
FGRRES_11674	0	0	0	0
FGRRES_11675	6	2	1	5
FGRRES_00099	0	0	0	0
FGRRES_00100	5	11	6	4
FGRRES_00101	0	0	0	0
FGRRES_00102	16	12	8	6
FGRRES_00103	2	0	4	3
FGRRES_00104_M	0	0	0	0
FGRRES_00105_M	101	98	141	115
FGRRES_11676	2	3	2	5
FGRRES_11677	2	0	0	1
FGRRES_11678	154	93	167	111
FGRRES_00107	208	170	116	154
FGRRES_00108	17	14	33	18
FGRRES_00109	1	3	2	2
FGRRES_15687	49	34	4	5
FGRRES_00111	0	0	0	0
FGRRES_00112	0	0	0	0
FGRRES_15688	253	263	64	63
FGRRES_00114	0	0	0	0
FGRRES_15689	2063	1603	297	232
FGRRES_00116	1643	1441	402	344
FGRRES_00117	110	86	110	68
FGRRES_00118	359	311	243	216
FGRRES_00119	1	3	0	0
FGRRES_00120_M	0	0	0	0
FGRRES_20005	0	0	0	0
FGRRES_15690	19	23	6	2
FGRRES_00122	13	8	6	1
FGRRES_15691	96	86	32	19
FGRRES_00124	5	5	1	0
FGRRES_15692	78	72	61	35
FGRRES_00126	11	6	4	3
FGRRES_15693	3	1	3	0
FGRRES_15049	0	0	0	0
FGRRES_00128_M	0	0	0	0
FGRRES_00129_M	0	0	0	0
FGRRES_00130	2	1	0	2
FGRRES_00131	11	14	9	6
FGRRES_00132	3	5	1	0
FGRRES_15694	17	14	57	50
FGRRES_00134	6	2	0	2
FGRRES_00135	0	0	2	0
FGRRES_15050	3	3	0	0
FGRRES_00136	24973	28535	65956	74181
FGRRES_00137	180	210	331	351
FGRRES_00138	2199	2082	5413	4833
FGRRES_00139	879	849	6765	6458
FGRRES_00140	6385	7553	4518	4979
FGRRES_11682	29	8	5	0
FGRRES_00141	0	0	0	0
FGRRES_15695	0	0	0	0
FGRRES_15696	2	1	3	2
FGRRES_00144	47	41	23	10
FGRRES_00145	10	9	9	7
FGRRES_11683	8	6	5	3
FGRRES_11684	8	10	6	10
FGRRES_00147	16	21	28	12
FGRRES_00148	13	20	11	11
FGRRES_11685	0	3	0	3
FGRRES_11686	3	2	2	0
FGRRES_00150	7514	7535	7768	6954
FGRRES_11687	27	33	45	35
FGRRES_00151	1648	1288	1155	802
FGRRES_20006	0	0	0	1
FGRRES_00152	863	874	1139	1158
FGRRES_15697	118	139	59	88
FGRRES_00154	110	92	43	37
FGRRES_11688	161	137	59	52
FGRRES_11689	387	364	961	924
FGRRES_00156_M	770	606	1861	1775
FGRRES_20007	205	157	180	190
FGRRES_00157	0	2	0	0
FGRRES_15698	424	348	344	296
FGRRES_11690	56	45	26	29
FGRRES_11691	87	83	143	130
FGRRES_15699	214	186	236	236
FGRRES_15052	20	14	37	37
FGRRES_00160	514	502	225	211
FGRRES_00161	116	123	92	96
FGRRES_00162	243	208	73	59
FGRRES_15053	76	45	77	74
FGRRES_00163	82	75	13	4
FGRRES_11692	35	27	10	6
FGRRES_11693	401	360	903	762
FGRRES_00164	248	230	390	328
FGRRES_00165	83	85	62	48
FGRRES_00166	839	776	355	314
FGRRES_15700	136	97	49	44
FGRRES_00168	467	516	322	285
FGRRES_00169	1085	1103	1383	1054
FGRRES_00170	1459	1218	1500	1398
FGRRES_00171	88	75	88	86
FGRRES_11696_M	929	748	589	533
FGRRES_00172	8336	8027	18690	18628
FGRRES_00173	92	114	92	76
FGRRES_00174	109	88	89	120
FGRRES_00175	865	982	1271	1312
FGRRES_00176	1147	1194	147	134
FGRRES_00177	1864	1904	1072	935
FGRRES_11697	813	908	590	552
FGRRES_11698	1910	1684	1732	1347
FGRRES_15054_M	4	0	5	0
FGRRES_11699	403	350	387	354
FGRRES_00179	698	578	481	438
FGRRES_15055	0	1	0	0
FGRRES_15701	1448	1391	3056	3256
FGRRES_00181	4	5	6	4
FGRRES_00182	911	822	525	460
FGRRES_00183	137	135	64	58
FGRRES_00184	7	8	6	5
FGRRES_00185	3380	3141	2784	2432
FGRRES_00186	633	612	669	751
FGRRES_15702	310	299	200	165
FGRRES_00188	364	333	230	186
FGRRES_00189	1630	1657	1123	1148
FGRRES_00190	425	446	243	245
FGRRES_11703	2791	2278	2044	1705
FGRRES_11704	102	108	96	73
FGRRES_00192	10617	11314	8853	8790
FGRRES_00193	1441	1327	892	754
FGRRES_00194	1917	1721	2475	2175
FGRRES_00195	65	55	46	45
FGRRES_15056	44	14	39	20
FGRRES_00196_M	997	877	425	402
FGRRES_00197	24	21	12	4
FGRRES_00198	224	196	218	162
FGRRES_00199	711	543	1463	1574
FGRRES_00200	179	173	118	110
FGRRES_00201	79	92	156	161
FGRRES_15703	39	46	28	18
FGRRES_11706	36	24	45	19
FGRRES_11707	0	3	1	1
FGRRES_00203	174	172	75	64
FGRRES_11708	1	0	0	0
FGRRES_11709	22	12	11	12
FGRRES_00205	0	0	0	3
FGRRES_15704	8	8	8	6
FGRRES_11710	3089	2152	5156	4326
FGRRES_00207	75	87	41	45
FGRRES_15705	16	18	1	9
FGRRES_11711	2	0	0	0
FGRRES_11712	0	0	0	0
FGRRES_00209	31	33	53	34
FGRRES_15706	35	21	5	3
FGRRES_00211	1	1	2	7
FGRRES_15707_M	19	11	26	9
FGRRES_00213	9	9	8	14
FGRRES_00214	633	521	504	424
FGRRES_15708_M	48	43	77	66
FGRRES_00216	116	105	335	286
FGRRES_00217	791	674	440	400
FGRRES_00218	2	1	1	0
FGRRES_00219	0	0	0	0
FGRRES_00220	52	32	24	34
FGRRES_15709	0	2	0	2
FGRRES_00222	13	8	1	0
FGRRES_11713	10	10	1	1
FGRRES_11714	0	1	0	0
FGRRES_00224	638	652	153	128
FGRRES_15710	10	5	4	4
FGRRES_00226	14	11	8	20
FGRRES_00227	53	38	23	26
FGRRES_11715	0	3	1	0
FGRRES_15711	1312	1161	665	629
FGRRES_00229	110	94	18	24
FGRRES_00230	0	2	1	3
FGRRES_11717	9	2	23	12
FGRRES_11718	182	121	156	134
FGRRES_00231	96	68	43	21
FGRRES_00232	6	6	6	1
FGRRES_11719	0	0	0	0
FGRRES_15712	0	2	1	2
FGRRES_00234	4	5	11	4
FGRRES_00235	27	34	10	12
FGRRES_00236	13	8	6	8
FGRRES_00237	5	15	20	18
FGRRES_11720	54	39	30	17
FGRRES_11721	120	125	80	48
FGRRES_11722	6	1	2	0
FGRRES_11723	0	0	0	0
FGRRES_15713	28	38	42	35
FGRRES_15714_M	96	80	58	57
FGRRES_15715	102	87	95	86
FGRRES_15716	16	10	3	10
FGRRES_11727_M	1	0	0	0
FGRRES_00242_M	0	1	1	1
FGRRES_11728	0	0	0	0
FGRRES_00243	3096	3383	3220	2934
FGRRES_11729	1328	1250	697	566
FGRRES_11730	8	3	15	14
FGRRES_11731	460	407	358	321
FGRRES_00245	573	390	411	347
FGRRES_00246	43	63	91	79
FGRRES_00247	155	95	210	205
FGRRES_11732	12	7	11	7
FGRRES_15717	2641	2608	2166	1717
FGRRES_00249	261	233	165	145
FGRRES_15718	291	277	175	194
FGRRES_00251_M	328	337	31	29
FGRRES_00252	179	112	116	96
FGRRES_00253	2	1	0	1
FGRRES_00254	5	0	7	5
FGRRES_11735	0	0	0	0
FGRRES_00255	6	5	32	32
FGRRES_00256	1342	973	1070	805
FGRRES_00257	930	967	250	228
FGRRES_00258	53	26	13	4
FGRRES_00259	494	437	326	256
FGRRES_00260	2124	1999	4262	3240
FGRRES_00261	1302	1484	805	764
FGRRES_00262_M	30	37	25	21
FGRRES_00263	898	954	545	425
FGRRES_00264	750	700	249	206
FGRRES_00265	78	65	51	35
FGRRES_00266	229	232	115	115
FGRRES_00267	8	10	4	6
FGRRES_00268	40	42	21	19
FGRRES_11736	30	35	14	26
FGRRES_00269	1132	1145	866	905
FGRRES_00270	1684	1721	665	569
FGRRES_15005	22	20	44	39
FGRRES_11737	0	0	1	0
FGRRES_11738	2	4	2	5
FGRRES_00271	2225	1947	1464	1281
FGRRES_00272	217	203	86	87
FGRRES_15719	13	7	4	5
FGRRES_15720	155	142	34	16
FGRRES_11739	6	4	8	12
FGRRES_00274	27	38	17	30
